,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,AGRO3.SA,-1.7,19.52,13.2,41,24,17,58.54,41.46,-4.29,4.05,0.15
2023-01-18,AGRO3.SA,-1.8,18.51,13.04,38,21,17,55.26,44.74,-4.18,4.17,0.14
2023-01-18,AGRO3.SA,-1.9,12.47,14.08,36,19,17,52.78,47.22,-4.08,4.24,0.16
2023-01-18,AGRO3.SA,-2.0,9.17,10.67,30,15,15,50.0,50.0,-3.98,4.36,0.12
2023-01-18,AGRO3.SA,-2.1,3.12,7.81,27,12,15,44.44,55.56,-3.87,4.43,0.09
2023-01-18,AGRO3.SA,-2.2,-1.42,0.41,23,8,15,34.78,65.22,-3.77,3.74,0.0
2023-01-18,AGRO3.SA,-2.3,2.37,2.7,23,8,15,34.78,65.22,-3.66,3.84,0.03
2023-01-18,AGRO3.SA,-2.4,1.09,2.15,22,8,14,36.36,63.64,-3.59,3.94,0.02
2023-01-18,AGRO3.SA,-2.5,-1.57,-2.45,20,7,13,35.0,65.0,-3.49,3.09,-0.03
2023-01-18,AGRO3.SA,-2.6,-1.21,-0.47,20,7,13,35.0,65.0,-3.39,3.19,-0.01
2023-01-18,AGRO3.SA,-2.7,-1.91,-1.83,19,7,12,36.84,63.16,-3.28,2.35,-0.02
2023-01-18,AGRO3.SA,-2.8,1.15,-0.19,18,7,11,38.89,61.11,-3.18,2.46,-0.0
2023-01-18,AGRO3.SA,-2.9,-4.48,-0.15,16,10,6,62.5,37.5,-3.08,2.57,-0.0
2023-01-18,AGRO3.SA,-3.0,-0.52,1.4,15,10,5,66.67,33.33,-2.97,2.65,0.02
2023-01-18,AGRO3.SA,-3.1,-0.11,0.29,15,10,5,66.67,33.33,-2.87,2.51,0.0
2023-01-18,AGRO3.SA,-3.2,1.12,1.41,14,9,5,64.29,35.71,-2.77,2.59,0.02
2023-01-18,AGRO3.SA,-3.3,1.85,2.38,13,8,5,61.54,38.46,-2.7,2.7,0.03
2023-01-18,AGRO3.SA,-3.4,1.51,2.23,11,7,4,63.64,36.36,-2.59,2.78,0.02
2023-01-18,AGRO3.SA,-3.5,1.15,3.31,11,7,4,63.64,36.36,-2.49,2.89,0.04
2023-01-18,AGRO3.SA,-3.6,3.52,3.89,10,6,4,60.0,40.0,-2.39,3.0,0.04
2023-01-18,AGRO3.SA,-3.7,5.64,4.9,10,6,4,60.0,40.0,-2.28,3.08,0.05
2023-01-18,AGRO3.SA,-3.8,6.84,5.86,10,6,4,60.0,40.0,-2.18,3.19,0.07
2023-01-18,AGRO3.SA,-3.9,9.26,6.9,9,6,3,66.67,33.33,-2.07,3.31,0.08
2023-01-18,AGRO3.SA,-4.0,8.03,6.24,9,6,3,66.67,33.33,-1.97,3.38,0.07
2023-01-18,AGXY3.SA,-0.5,-61.57,18.12,77,40,37,51.95,48.05,-9.15,10.21,0.2
2023-01-18,AGXY3.SA,-0.6,-40.04,25.4,77,41,36,53.25,46.75,-9.04,10.34,0.28
2023-01-18,AGXY3.SA,-0.7,-24.33,33.02,76,41,35,53.95,46.05,-8.94,10.34,0.37
2023-01-18,AGXY3.SA,-0.8,-3.28,41.19,76,42,34,55.26,44.74,-8.84,10.47,0.46
2023-01-18,AGXY3.SA,-0.9,9.88,47.5,76,42,34,55.26,44.74,-8.73,10.6,0.53
2023-01-18,AGXY3.SA,-1.0,30.74,55.49,74,42,32,56.76,43.24,-8.63,10.73,0.62
2023-01-18,AGXY3.SA,-1.1,34.64,59.25,73,42,31,57.53,42.47,-8.52,10.73,0.66
2023-01-18,AGXY3.SA,-1.2,49.38,60.61,70,41,29,58.57,41.43,-8.42,10.86,0.67
2023-01-18,AGXY3.SA,-1.3,61.93,59.62,69,40,29,57.97,42.03,-8.32,10.99,0.66
2023-01-18,AGXY3.SA,-1.4,77.49,64.86,68,39,29,57.35,42.65,-8.32,11.13,0.72
2023-01-18,AGXY3.SA,-1.5,68.64,52.9,64,35,29,54.69,45.31,-8.21,11.13,0.59
2023-01-18,AGXY3.SA,-1.6,73.06,52.99,62,34,28,54.84,45.16,-8.11,11.26,0.59
2023-01-18,AGXY3.SA,-1.7,80.47,52.5,60,34,26,56.67,43.33,-8.0,11.39,0.58
2023-01-18,AGXY3.SA,-1.8,76.7,44.54,59,34,25,57.63,42.37,-7.9,11.52,0.49
2023-01-18,AGXY3.SA,-1.9,88.11,49.85,60,35,25,58.33,41.67,-7.8,11.65,0.55
2023-01-18,AGXY3.SA,-2.0,85.18,51.82,58,33,25,56.9,43.1,-7.69,11.65,0.58
2023-01-18,AGXY3.SA,-2.1,93.27,58.38,57,33,24,57.89,42.11,-7.59,11.78,0.65
2023-01-18,AGXY3.SA,-2.2,101.41,58.17,57,33,24,57.89,42.11,-7.48,11.91,0.65
2023-01-18,AGXY3.SA,-2.3,95.64,42.54,52,28,24,53.85,46.15,-7.38,12.04,0.47
2023-01-18,AGXY3.SA,-2.4,101.98,38.47,48,25,23,52.08,47.92,-7.28,12.04,0.43
2023-01-18,AGXY3.SA,-2.5,108.65,35.65,46,24,22,52.17,47.83,-7.17,12.17,0.4
2023-01-18,AGXY3.SA,-2.6,101.86,25.86,45,24,21,53.33,46.67,-7.07,6.7,0.29
2023-01-18,AGXY3.SA,-2.7,104.61,19.37,42,21,21,50.0,50.0,-6.96,6.82,0.22
2023-01-18,AGXY3.SA,-2.8,112.97,22.08,41,20,21,48.78,51.22,-6.86,6.94,0.25
2023-01-18,AGXY3.SA,-2.9,126.36,24.95,37,19,18,51.35,48.65,-6.76,7.06,0.28
2023-01-18,AGXY3.SA,-3.0,119.6,16.49,33,18,15,54.55,45.45,-6.65,7.19,0.18
2023-01-18,AGXY3.SA,-3.1,113.21,19.58,33,19,14,57.58,42.42,-6.55,7.19,0.22
2023-01-18,AGXY3.SA,-3.2,102.07,23.31,33,20,13,60.61,39.39,-6.44,7.31,0.26
2023-01-18,AGXY3.SA,-3.3,95.19,25.73,34,21,13,61.76,38.24,-6.34,7.43,0.29
2023-01-18,AGXY3.SA,-3.4,85.48,17.92,30,17,13,56.67,43.33,-6.24,7.55,0.2
2023-01-18,AGXY3.SA,-3.5,64.85,13.43,28,15,13,53.57,46.43,-6.13,7.67,0.15
2023-01-18,AGXY3.SA,-3.6,70.35,16.64,28,15,13,53.57,46.43,-6.03,7.8,0.18
2023-01-18,AGXY3.SA,-3.7,71.13,11.34,27,14,13,51.85,48.15,-5.93,7.8,0.13
2023-01-18,AGXY3.SA,-3.8,69.62,13.79,27,14,13,51.85,48.15,-5.82,7.92,0.15
2023-01-18,AGXY3.SA,-3.9,68.04,5.9,24,11,13,45.83,54.17,-5.72,8.04,0.07
2023-01-18,AGXY3.SA,-4.0,77.46,8.56,24,11,13,45.83,54.17,-5.72,8.16,0.1
2023-01-18,AIEC11.SA,-0.5,-11.27,-11.14,37,11,26,29.73,70.27,-2.76,2.63,-0.2
2023-01-18,AIEC11.SA,-0.6,-0.16,-9.18,34,11,23,32.35,67.65,-2.66,2.74,-0.16
2023-01-18,AIEC11.SA,-0.7,5.75,-5.99,32,11,21,34.38,65.62,-2.56,2.84,-0.11
2023-01-18,AIEC11.SA,-0.8,11.75,-3.66,30,11,19,36.67,63.33,-2.46,2.93,-0.07
2023-01-18,AIEC11.SA,-0.9,13.82,-1.04,29,12,17,41.38,58.62,-2.36,3.03,-0.02
2023-01-18,AIEC11.SA,-1.0,18.18,1.43,28,12,16,42.86,57.14,-2.27,3.13,0.03
2023-01-18,AIEC11.SA,-1.1,20.3,3.36,26,10,16,38.46,61.54,-2.16,3.24,0.06
2023-01-18,AIEC11.SA,-1.2,19.85,2.69,25,12,13,48.0,52.0,-2.05,1.96,0.05
2023-01-18,AIEC11.SA,-1.3,15.28,1.69,22,13,9,59.09,40.91,-1.96,2.07,0.03
2023-01-18,AIEC11.SA,-1.4,14.47,1.97,20,14,6,70.0,30.0,-1.86,2.17,0.04
2023-01-18,AIEC11.SA,-1.5,14.96,3.08,18,12,6,66.67,33.33,-1.76,2.27,0.06
2023-01-18,AIEC11.SA,-1.6,20.5,4.68,17,11,6,64.71,35.29,-1.66,2.37,0.08
2023-01-18,AIEC11.SA,-1.7,15.76,2.82,12,7,5,58.33,41.67,-1.56,2.47,0.05
2023-01-18,AIEC11.SA,-1.8,14.73,3.95,10,9,1,90.0,10.0,-1.46,2.57,0.07
2023-01-18,AIEC11.SA,-1.9,15.91,4.85,9,8,1,88.89,11.11,-1.36,2.67,0.09
2023-01-18,AIEC11.SA,-2.0,18.06,4.76,7,6,1,85.71,14.29,-1.26,2.77,0.08
2023-01-18,AIEC11.SA,-2.1,21.07,5.44,7,6,1,85.71,14.29,-1.17,2.86,0.1
2023-01-18,AIEC11.SA,-2.2,23.13,6.15,7,6,1,85.71,14.29,-1.06,2.97,0.11
2023-01-18,AIEC11.SA,-2.3,20.31,5.33,5,4,1,80.0,20.0,-0.95,3.06,0.1
2023-01-18,AIEC11.SA,-2.4,22.35,5.84,5,4,1,80.0,20.0,-0.86,3.17,0.1
2023-01-18,AIEC11.SA,-2.5,15.04,6.35,5,4,1,80.0,20.0,-0.76,3.28,0.11
2023-01-18,AIEC11.SA,-2.6,13.56,3.47,4,3,1,75.0,25.0,-0.66,1.42,0.06
2023-01-18,AIEC11.SA,-2.7,13.53,3.87,4,3,1,75.0,25.0,-0.56,1.52,0.07
2023-01-18,AIEC11.SA,-2.8,15.13,4.26,4,3,1,75.0,25.0,-0.46,1.62,0.08
2023-01-18,AIEC11.SA,-2.9,14.04,4.66,4,3,1,75.0,25.0,-0.36,1.72,0.08
2023-01-18,AIEC11.SA,-3.0,12.51,3.29,3,2,1,66.67,33.33,-0.27,1.83,0.06
2023-01-18,AIEC11.SA,-3.1,13.81,3.59,3,2,1,66.67,33.33,-0.16,1.92,0.06
2023-01-18,AIEC11.SA,-3.2,12.81,3.87,3,2,1,66.67,33.33,-0.07,2.02,0.07
2023-01-18,AIEC11.SA,-3.3,11.67,4.16,2,2,0,100.0,0.0,0.0,2.13,0.07
2023-01-18,AIEC11.SA,-3.4,11.44,4.35,2,2,0,100.0,0.0,0.0,2.22,0.08
